State,Mean,Max,Total
Connecticut,41439.138,718000.000,2540302020.000
District of Columbia,56482.569,668000.000,649549540.000
New York,34333.832,660000.000,11420668608.000
New Jersey,41913.338,637000.000,6248943408.000
Massachusetts,40284.028,620000.000,4830780076.000
California,34571.300,565000.000,21830462324.000
Illinois,32850.918,543000.000,6916563628.000
New Hampshire,33126.902,525000.000,785836380.000
Washington,34766.542,521000.000,4392891616.000
Maryland,40335.129,502000.000,4031415440.000
Virginia,37383.426,500000.000,5281231376.000
Colorado,35176.403,498000.000,3253043408.000
Wyoming,28032.728,497000.000,266198788.000
Minnesota,30808.199,487000.000,2835956320.000
Pennsylvania,28234.587,486000.000,6187440404.000
Florida,26645.358,476000.000,9271358780.000
Delaware,29830.959,476000.000,468883020.000
Georgia,29588.988,471000.000,4945325984.000
Texas,30400.304,468000.000,13258484672.000
Nevada,28023.110,461000.000,1344829060.000
Tennessee,25628.134,440000.000,2903103740.000
Kansas,26408.671,439000.000,1280345188.000
Wisconsin,27890.460,439000.000,2786256960.000
Alaska,30515.714,439000.000,322856256.000
Ohio,27531.443,432000.000,5471764248.000
Nebraska,26796.095,430000.000,849811360.000
Michigan,26330.723,427000.000,4403234136.000
Arkansas,21505.849,422000.000,1078690380.000
South Carolina,24861.740,421000.000,2094502176.000
Utah,30170.895,420000.000,1453211340.000
Vermont,27366.117,417000.000,304147020.000
Missouri,25661.581,416000.000,2660695320.000
North Carolina,27110.663,413000.000,4665528188.000
Oklahoma,22884.101,413000.000,1397623580.000
South Dakota,24563.559,413000.000,349342940.000
Indiana,25987.084,412000.000,2893921648.000
Arizona,25898.236,412000.000,2996166940.000
Oregon,28482.967,408000.000,2018872716.000
Iowa,26000.392,404000.000,1390292980.000
Hawaii,30110.123,403000.000,726978800.000
North Dakota,28745.910,402000.000,372259540.000
Rhode Island,32042.626,402000.000,575101060.000
Kentucky,24270.576,398000.000,1829418928.000
Idaho,23844.366,396000.000,639172080.000
Alabama,22992.796,391000.000,1852115688.000
Louisiana,24617.802,388000.000,1790846660.000
Montana,22829.782,386000.000,392443960.000
Maine,22920.159,356000.000,526017660.000
West Virginia,20573.765,350000.000,635770480.000
New Mexico,21223.974,345000.000,683963800.000
Mississippi,20723.287,335000.000,1003090004.000
Puerto Rico,8441.125,180000.000,207550370.000
